PROGRAMA;ANUNCIANTE;FORMATO;ELENCO; CUSTO DE PRODUCAO ;CACHE EXTRA
Big Brother Brasil;CA MODAS;Patrocínio;Tiago Leifert;177600;
Big Brother Brasil;IFOOD;Ação;Tiago Leifert;44400;
Big Brother Brasil;AVON;Patrocínio;Tiago Leifert;421800;
Big Brother Brasil;AMERICANAS;Patrocínio;Tiago Leifert;55000;
Big Brother Brasil;BASTON;Patrocínio;Tiago Leifert;488400;
Big Brother Brasil;AMERICANAS;Patrocínio;Tiago Leifert;330000;
Big Brother Brasil;SAMSUNG;Ação;Tiago Leifert;188700;
Big Brother Brasil;PICPAY;Ação;NA;33300;
Big Brother Brasil;SEARA;Patrocínio;Tiago Leifert;155400;
Big Brother Brasil;IFOOD;Ação;Tiago Leifert;33300;
Big Brother Brasil;IFOOD;Ação;Tiago Leifert;8880;
Big Brother Brasil;CA MODAS;Patrocínio;Tiago Leifert;299700;
Big Brother Brasil;C E A;Patrocínio;Tiago Leifert;299700;
Big Brother Brasil;COCA COLA;Patrocínio;Tiago Leifert;393903;
Big Brother Brasil;FIAT;Patrocínio;Tiago Leifert;466200;
Big Brother Brasil;AMERICANAS;Patrocínio;Tiago Leifert;55000;
Big Brother Brasil;LOREAL;Ação;Tiago Leifert;199800;
Big Brother Brasil;PICPAY;Ação;NA;33300;
Big Brother Brasil;AMERICANAS;Patrocínio;Tiago Leifert;199800;
Big Brother Brasil;IFOOD;Ação;Tiago Leifert;8880;
Big Brother Brasil;SEARA;;Tiago Leifert;466000;
Big Brother Brasil;SEARA;;Tiago Leifert;466000;
Big Brother Brasil;PICPAY;Ação;Iza ;543900;
Big Brother Brasil;AMERICANAS;;Tiago Leifert;55000;
Big Brother Brasil;COCA COLA;Patrocínio;Tiago Leifert;166500;
Big Brother Brasil;ITATIAIA;Ação;Tiago Leifert;277500;
Big Brother Brasil;PICPAY;Ação;Ana Clara ;33300;
Big Brother Brasil;AMERICANAS;Ação;Tiago Leifert;166500;
Big Brother Brasil;IFOOD;Ação;Tiago Leifert;8880;
Big Brother Brasil;AMERICANAS;Ação;Tiago Leifert;388500;
Big Brother Brasil;LOREAL;Ação;Tiago Leifert;444000;
Big Brother Brasil;AMERICANAS;Ação;Tiago Leifert;50000;
Big Brother Brasil;AVON;Ação;Tiago Leifert;455100;
Big Brother Brasil;COCA COLA;Patrocínio;Tiago Leifert;166500;
Big Brother Brasil;PICPAY;Ação;Ana Clara ;33300;
Big Brother Brasil;AMERICANAS;Ação;Tiago Leifert;199800;
Big Brother Brasil;CERVEJARIA HEINEKEN;Patrocínio;Tiago Leifert;427350;
Big Brother Brasil;IFOOD;Ação;Tiago Leifert;8880;
Big Brother Brasil;SEARA;Ação;Tiago Leifert;155400;
Big Brother Brasil;BASTON;Patrocínio;Tiago Leifert;233100;
Big Brother Brasil;IFOOD;Ação;Tiago Leifert;17760;
Big Brother Brasil;AMERICANAS;;Tiago Leifert;50000;
Big Brother Brasil;SEARA;Ação;Tiago Leifert;466000;
Big Brother Brasil;ORGANNACT;Ação;Tiago Leifert;88800;
Big Brother Brasil;CA MODAS;Ação;Tiago Leifert;233100;
Big Brother Brasil;PICPAY;Ação;Ana Clara;444000;
Big Brother Brasil;AMERICANAS;Ação;Tiago Leifert;122100;
Big Brother Brasil;SAMSUNG;Patrocínio;Tiago Leifert;344100;
Big Brother Brasil;IFOOD;Ação;Tiago Leifert;11100;
Big Brother Brasil;PIRAQUE;Ação;Tiago Leifert ;388500;
Big Brother Brasil;AVON;Ação;Tiago Leifert;444000;
Big Brother Brasil;FIAT;Patrocínio;Tiago Leifert;188700;
Big Brother Brasil;PICPAY;Ação;Iza ;88800;
Big Brother Brasil;AMERICANAS;Ação;Tiago Leifert;96570;
Caldeirão do Huck;MCCAIN;Ação;Luciano Huck;13875;
Caldeirão do Mion;SANTANDER;Ação;Marcos Mion;12000;
Caldeirão do Mion;SANTANDER;Ação;Marcos Mion;12000;
Caldeirão do Mion;SANTANDER;Ação;Marcos Mion;12000;
Caldeirão do Mion;SANTANDER;Ação;Marcos Mion;12000;
Caldeirão do Mion;ABOVE;Ação;Marcos Mion;13320;
Caldeirão do Mion;YPE;Ação;Marcos Mion;13320;
Caldeirão do Mion;YPE;Ação;Marcos Mion;13320;
Caldeirão do Mion;MAGAZINE LUIZA;Ação;Marcos Mion;13320;
Caldeirão do Mion;MAGAZINE LUIZA;Ação;Marcos Mion;13320;
Caldeirão do Mion;CHEETOS;Ação;Marcos Mion;13320;
Caldeirão do Mion;ELMA CHIPS;Ação;Marcos Mion;13320;
Caldeirão do Mion;SANTANDER;Ação;Marcos Mion;12000;
Caldeirão do Mion;SANTANDER;Ação;Marcos Mion;12000;
Caldeirão do Mion;SANTANDER;Ação;Marcos Mion;12000;
Caldeirão do Mion;SANTANDER;Ação;Marcos Mion;12000;
Caldeirão do Mion;YPE;Ação;Marcos Mion;13320;
Caldeirão do Mion;YPE;Ação;Marcos Mion;13320;
Caldeirão do Mion;YPE;Ação;Marcos Mion;13320;
Caldeirão do Mion;YPE;Ação;Marcos Mion;13320;
Caldeirão do Mion;YPE;Ação;Marcos Mion;13320;
Caldeirão do Mion;YPE;Ação;Marcos Mion;13320;
Caldeirão do Mion;YPE;Ação;Marcos Mion;13320;
Caldeirão do Mion;KWAI;Ação;Marcos Mion;13320;
Caldeirão do Mion;KWAI;Ação;Marcos Mion;13320;
Caldeirão do Mion;KWAI;Ação;Marcos Mion;13320;
Caldeirão do Mion;KWAI;Ação;Marcos Mion;13320;
Caldeirão do Mion;KWAI;Ação;Marcos Mion;13320;
Caldeirão do Mion;LABORATORIOS PFIZER;Ação;Marcos Mion;13320;
Caldeirão do Mion;GILLETTE;Ação;Marcos Mion;13320;
Caldeirão do Mion;AZUL;ação;Marcos Mion;13320;
Caldeirão do Mion;LEROY MERLIN;Ação;Marcos Mion;13320;
Caldeirão do Mion;SANTANDER;Ação;Marcos Mion;12000;
Caldeirão do Mion;SANTANDER;Ação;Marcos Mion;12000;
Caldeirão do Mion;SANTANDER;Ação;Marcos Mion;12000;
Caldeirão do Mion;SANTANDER;Ação;Marcos Mion;12000;
Camarote Brahma Em Casa;BRAHMA;Patrocínio;Ivete Sangalo e Claudia Leite; -   ;
Camarote Brahma Em Casa;BRAHMA;Patrocínio;Ivete Sangalo e Claudia Leite; -   ;
Conversa com Bial;BITCOIN;Ação;Pedro Bial;3000;
Conversa com Bial;POKERSTARS NET;Ação;Pedro Bial;2500;
Cozinha Prática;NADIR FIGUEIREDO;Ação;Rita Lobo; -   ;
Cozinha Prática;OXFORD;Ação;Rita Lobo;6200;
Domingão do Faustão;IFOOD;Ação;Carol Amaral e Nathalia Ramos;4000;
Domingão do Faustão;EMS;Ação;Thayna Cupertino e Yasmin Marinho;4000;
Domingão do Faustão;EMS;Ação;Natalia Zanin e Beatriz Larrat;4000;
Domingão do Faustão;CASAS BAHIA;Ação;Mayara Araujo e Fran Pimenta;4000;
Domingão do Faustão;MAGAZINE LUIZA;Patrocínio;Mariana Santos e Élcio Bonazzi_ Maria Joana e Marcus Viana_ Sophia Abrahão e Zazá Ferrer_ Paolla Oliveira e Leandro Azevedo_ Claudia Ohana e Heron Leal_ Odilon Wagner e Yasmin Marinho_ Rodrigo Simas e Nathalia Ramos_ Arthur Aguiar e Tati Scarletti_ Marcel;365000;
Domingão do Faustão;EMS;Ação;Jaque Ciocci e Nahalia Ramos;5550;
Domingão do Faustão;BMG;Ação;Jaque Ciocci e Nathalia Ramos;21667;
Domingão do Faustão;EMS;Ação;Thayna Cupertino e Nathalia Zanin;4440;
Domingão do Faustão;BMG;Ação;Tati Scarletti e Beatriz Larrat;7215;
Domingão do Faustão;TIKTOK;Ação;Tiago Leifert_ Tati Scarletti e Nathalia Ramos;4440;
Domingão do Faustão;TIKTOK;Ação;Tiago Leifert;7770;
Domingão do Faustão;TIKTOK;Ação;Tiago Leifert;7770;
Domingão do Faustão;MAGAZINE LUIZA;Ação;Tiago Leifert;9498;
Domingão do Faustão;DOWNY;Ação;Tiago Leifert;3330;
Domingão do Faustão;MAGAZINE LUIZA;Ação;Tiago Leifert ;6660;
Domingão do Faustão;DOWNY;Ação;Tiago Leifert ;3330;
Domingão do Faustão;EMS;Ação;Dani Calabresa;9000;
Domingão do Faustão;CLARO;Ação;Tiago Leifert / Tata Werneck;7770;300000
Domingão do Huck;MAGAZINE LUIZA;Patrocínio;Luciano Huck;5550;
Domingão do Huck;MAGAZINE LUIZA;Ação;Luciano Huck;11100;
Domingão do Huck;EMS;Ação;Luciano Huck;5550;
Domingão do Huck;PAN;Ação;Luciano Huck;11110;
Domingão do Huck;PAN;Ação;Luciano Huck;33300;
Domingão do Huck;MAGAZINE LUIZA;Patrocínio;Luciano Huck; -   ;
Domingão do Huck;MAGAZINE LUIZA;Ação;Luciano Huck;11100;
Domingão do Huck;PAN;Ação;Luciano Huck;33300;
Domingão do Huck;MAGAZINE LUIZA;Ação;Luciano Huck;11100;
Domingão do Huck;MAGAZINE LUIZA;Patrocínio;Luciano Huck; -   ;
Domingão do Huck;HONDA;Ação;Luciano Huck e Leo Souza;16650;
Domingão do Huck;PAN;Ação;Luciano Huck;11100;
Domingão do Huck;MAGAZINE LUIZA;Patrocínio;Luciano Huck;5550;
Domingão do Huck;MAGAZINE LUIZA;Ação;Luciano Huck; -   ;
Domingão do Huck;MAGAZINE LUIZA;Patrocínio;Luciano Huck;5000;
Domingão do Huck;PAN;Ação;Luciano Huck;11100;
Domingão do Huck;MAGAZINE LUIZA;Ação;Luciano Huck;11100;
Domingão do Huck;EMS;Ação;Luciano Huck e Leo Souza;44400;
Domingão do Huck;PAN;Ação;Luciano Huck;11100;
Domingão do Huck;MAGAZINE LUIZA;Ação;Luciano Huck;11100;
Domingão do Huck;MAGAZINE LUIZA;Patrocínio;Luciano Huck; -   ;
Domingão do Huck;PAN;Ação;Luciano Huck;11100;
Domingão do Huck;MAGAZINE LUIZA;Ação;Luciano Huck;11100;
Domingão do Huck;EMS;Ação;Luciano Huck;8880;
Domingão do Huck;PETLOVE;Ação;Luciano Huck;11100;
Domingão do Huck;BOTICARIO;Ação;Luciano Huck;20000;
Domingão do Huck;MAGAZINE LUIZA;Patrocínio;Luciano Huck; -   ;
Domingão do Huck;PAN;Ação;Luciano Huck;40000;
Domingão do Huck;MAGAZINE LUIZA;Ação;Luciano Huck;11100;
Domingão do Huck;BOTICARIO;Ação;Luciano Huck;64925;
Domingão do Huck;EMS;Ação;Luciano Huck e Leo Souza;8000;
Domingão do Huck;MOURA;Ação;Luciano Huck; -   ;
Domingão do Huck;MAGAZINE LUIZA;Patrocínio;Luciano Huck;5500;
É de casa;ITATIAIA;Ação;Ana Furtado;99295;
É de casa;LABORATORIOS SABIN;Ação;Patrícia Poeta;2220;
É de casa;STONE;Ação;Patrícia Poeta e Talitha Morete;2220;
É de casa;ITATIAIA;Ação;Ana Furtado; -   ;
É de casa;AMAZON;Ação;Patrícia Poeta_ Manoel Soares e Talitha Morete (VT);33300;
É de casa;SADIA;Ação;Manoel Soares_ Cissa_ Ana Furtado e Patrícia;5550;
É de casa;STONE;Ação;Patrícia Poeta_ Manoel Soares e Luiza Zveiter (VT);5550;
É de casa;NINHO;Ação;Patrícia Poeta;3330;
É de casa;PREZUNIC;Ação;Ana Furtado;2220;
É de Casa;ZOETIS;Ação;Patrícia Poeta e Luiza Zveiter (VT);16650;
É de casa;SEBRAE;Ação;Patrícia Poeta e Talitha Morete (VT);2220;
É de casa;LYSOL;Ação;Manoel Soares;16650;
É de casa;BRILUX;Ação;Ana Furtado;2220;
É de casa;SEBRAE;Ação;Patrícia Poeta e Talitha Morete (VT);2220;
É de casa;AMAZON;Ação;Ana Furtado_ Cissa Guimarês e Talitha Morete (VT);33300;
É de casa;BEM BRASIL;Ação;Patrícia Poeta;2220;
É de casa;HUGGIES;Ação;Cissa Guimarães e Manoel Soares;2220;
É de Casa;AMAZON;Ação;Ana Furtado_ Cissa Guimarês e Talitha Morete (VT);33300;
É de casa;SEBRAE;Ação;Patrícia Poeta e Talitha Morete (VT);2220;
É de casa;SADIA;Patrocínio;Ana Furtado_ Cissa Guimarães e Manoel Soares;5550;
É de casa;VEJA;Ação;Manoel Soares;5550;
É de casa;SEBRAE;Ação;Patrícia Poeta_ Cissa Guimarães e Talitha Morete (VT);2220;
É de casa;YPE;Ação;Ana Furtado;2220;
É de casa;SERASA;Ação;Ana Furtado e Manoel Soares;5550;
É de casa;IFOOD;Ação;Ana Furtado e Manoel Soares;2220;
É de casa;UBER;Ação;Ana Furtado e Patrícia Poeta;2220;
É de casa;YPE;Ação;Ana Furtado e Manoel Soares;2220;
É de casa;BANCO DO BRASIL SEGUROS;Ação;Manoel Soares e Talitha Morete;2220;
É de casa;CVC;Ação;Manoel Soares e Cissa Guimarães;2220;
É de casa;YPE;Ação;Patrícia Poeta e Talitha Morete;2220;
É de casa;CVC;Ação;Manoel Soares e Talitha Morete;2220;
É de casa;YPE;Ação;Cissa Guimarães e Talitha Morete;2220;
É de casa;BRITANIA ;Ação;Manoel Soares e Cissa Guimarães;3330;
É de casa;ARNO;Ação;André Marques e Talitha Morete;3330;
Encontro;VEJA;Ação;Fátima Bernardes;3300;
Encontro;MOLICO;Ação;Fátima Bernardes;5550;
Encontro;PANTENE;Ação;Fátima Bernardes;5550;
Encontro;TENA;Ação;Patrícia Poeta;3330;
Encontro;TENA;Ação;Patrícia Poeta;3330;
Encontro;TENA;Ação;Patrícia Poeta;3330;
Encontro;PANTENE;Ação;Patrícia Poeta;5550;
Encontro;BANCO DO BRASIL;Ação;Patrícia Poeta;27750;
Encontro;PANTENE;Ação;Patricia Poeta;5550;
Encontro;BANCO DO BRASIL;Ação;Patrícia Poeta;27750;
Encontro;BEYOUNG;Ação;Patricia Poeta;6660;
Encontro;BYJU'S;Ação;Fátima Bernardes;4440;
Encontro;AMERICANAS;Ação;Fátima Bernardes e Mona Lisa Duperron ;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes e André Curvello;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes e Tati Machado;2220;
Encontro;VICK VAPORUB;Ação;Fátima Bernardes;5550;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;BRITANIA;Ação;Fátima Bernardes;3330;
Encontro;LACTA;Ação;Fátima Bernardes_ André Curvello e Mona Lisa Duperron;4440;
Encontro;BRADESCO SEGUROS;Ação;Fátima Bernardes;2220;
Encontro;SEARA;Patrocínio;Fátima Bernardes;8880;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;RENNER;Ação;Fátima Bernardes e Tati Machado;4440;
Encontro;SEARA;Patrocínio;Fátima Bernardes;8880;
Encontro;PAMPERS CONFORT SEC;Ação;Fátima Bernardes;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;VICK VAPORUB;Ação;Fátima Bernardes;5550;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;PROCTER;Ação;Fátima Bernardes;2220;
Encontro;SEARA;Patrocínio;Fátima Bernardes _ Apresentador BEST;3330;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;SEARA;Patrocínio;Fátima Bernardes;8880;
Encontro;RENNER;Ação;Fátima Bernardes e Tati Machado;4440;
Encontro;SEARA;Patrocínio;Patrícia Poeta;3330;
Encontro;OI;Ação;Fátima Bernardes;2220;
Encontro;RENNER;Ação;Fátima Bernardes;4440;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;VICK 44 E;Ação;Fátima Bernardes;2220;
Encontro;SERASA;Ação;Fátima Bernardes;2220;
Encontro;DOVE;Ação;Fátima Bernardes;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes e Curvello;2220;
Encontro;FLOGORAL;Ação;Fátima Bernardes;2220;
Encontro;RENNER;Ação;Fátima_ Monalisa e Curvello;4440;
Encontro;OI;Ação;Fátima Bernardes;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;AMERICANAS;Ação;Fátima Bernardes;2220;
Encontro;RENNER;Ação;Fátima Bernardes e Tati Machado;4440;
Encontro;PROCTER;Ação;Fátima Bernardes;2220;
